vendedor,referencia_vendedor,fabricante,ref_fabricante,unidad_embalaje,descripcion,precio_unitario,fechaCompra,cantidad,total
AMIDATA S.A,885-9263,,,U,"Tira de barrera, 6 contactos, paso 9.53mm, 2 filas , 15A, 250 V ac Codigo RS",1.982,2019-02-22,10,19.82
AMIDATA S.A,815-830,,,U,"Conector macho IEC, C14, Macho, Montaje en Panel, Recta, 10A, 250 V ac Codigo RS",3.17,2019-02-22,5,15.85
AMIDATA S.A,885-7371,,,U,140 Series Barrier Adj. Terminal Block Codigo RS,0.268,2019-02-22,50,13.4
AMIDATA S.A,774-3268,,,U,"Diodo, 1N4002G, 1A, 100V, DO-41, 2-Pines, Conexion de silicio Codigo RS",0.043000000000000003,2019-02-22,50,2.15
AMIDATA S.A,262-2012,,,U,"Silver plated black lantern socket,2mm Codigo RS",4.39,2019-02-22,4,17.56
AMIDATA S.A,262-2006,,,U,"Silver plated red lantern socket,2mm Codigo RS",4.39,2019-02-22,4,17.56
AMIDATA S.A,164-0555,,,U,"Placa Fotorresistente, 03-5109, Doble Cara, FR4, Grosor del Cobre 35μm, 100 x 220 x 1.6mm Codigo RS",6.24,2019-02-22,2,12.48
AMIDATA S.A,765-2976,,,U,"Cubierta de fusible Cooper Bussmann HTC-140M, Termoplastico, Fusible 5 x 20mm, Serie FPG Codigo RS",1.566,2019-02-22,5,7.83
AMIDATA S.A,189-9132,,,U,"Disipador Fischer Elektronik FK231SA220, para usar con TO-220, Montaje Tornillo, 19 x 13.5 x 9.5mm Codigo RS",1.12,2019-02-22,10,11.200000000000001
AMIDATA S.A,164-0557,,,U,"Placa Fotorresistente, 03-5153-1, Doble Cara, FR4, Grosor del Cobre 35μm, 233.4 x 160 x 1.6mm Codigo RS",8.88,2019-02-22,2,17.76
AMIDATA S.A,683-5357,,,U,"Resistencia fija de pelicula metalica, Vishay, 1Ω, ±5%, 1W, Axial, Serie PR01 Codigo RS",0.186,2019-02-22,10,1.859999999999999
AMIDATA S.A,214-1541,,,U,"Resistencia fija de pelicula metalica, TE Connectivity, 1Ω, ±5%, 2W, Axial, Serie ROX2S Codigo RS",0.277,2019-02-22,10,2.77
AMIDATA S.A,846-7114,,,U,"Condensador electrolitico de aluminio Nichicon LLS1J222MELZ, 2200μF, ±20%, 63V dc, Montaje en orificio pasante +85°C Codigo RS",2.675,2019-02-22,6,16.049999999999997
AMIDATA S.A,347-3502,,,U,"Transformador de PCB, 24V ac, 2 salidas , Agujero pasante, Potencia 2.3VA Codigo RS",2.75,2019-02-22,5,13.75
AMIDATA S.A,881-0892,,,U,"Interruptor de palanca Monopolar de una via (SPST), Funcionamiento Enclavamiento Codigo RS",6.08,2019-02-22,5,30.4
AMIDATA S.A,419-788,,,U,"Interruptor de balancin, Contacto Monopolar de una via (SPST), Enclavamiento, 10 A a 125 V ac, Iluminado, Verde Codigo RS",1.5899999999999999,2019-02-22,5,7.95
AMIDATA S.A,629-5153,,,U,"Rectificador en puente, W04G-E4/51, Monofasico, 1.5A 400V, WOG, 4 pines Codigo RS",0.59,2019-02-22,5,2.9499999999999993
AMIDATA S.A,610-2N1711,,,U,Transitor bipolar NPN,1.63,2019-02-22,10,16.299999999999997
AMIDATA S.A,576-82000000005,,,U,Portafusibles 5x20MM PANEL MNT QC BODY ONLY,2.26,2019-02-22,5,11.299999999999999
AMIDATA S.A,647-UEP1J4R7MED,,,U,Condensadores electroliticos de aluminio (con terminales radiales) 4.7uF 63V 105c 6.3x11 20% Cumple RoHS,0.331,2019-02-22,15,4.965
AMIDATA S.A,132-5274,,,U,"Destornillador CK, hoja de 100 mm, Acero al Cromo Vanadio, tipo VDE, punta Ranurada 4 mm",8.67,2019-02-21,1,8.67
AMIDATA S.A,687-6235,,,U,"Destornillador CK, hoja de 100 mm, Acero al Cromo Vanadio Molibdeno, tipo VDE, punta Ranurada 3 mm Codigo RS",5.24,2019-02-21,1,5.24
AMIDATA S.A,132-5267,,,U,"Destornillador CK, hoja de 150 mm, Acero al Cromo Vanadio, tipo VDE, punta Phillips PH3 Codigo RS",13.43,2019-02-21,1,13.43
AMIDATA S.A,455-9742,,,U,Conector de termopar RS PRO para Termopar de tipo K,3.8,2019-02-12,5,19.0
AMIDATA S.A,RS 479-217,,,U,"Guantes Delta Plus KPG10 T09, 2 guantes, Talla 9 Codigo",24.03,2019-02-12,1,24.03
AMIDATA S.A,455-9742,,,U,Conector de termopar RS PRO para Termopar de tipo K Codigo RS,3.8,2019-02-08,5,19.0
